ts_iso,ts,n_people,n_tourists,n_locals,n_uncertain,tourist_ratio,avg_dwell_s,avg_speed_px
2026-05-27T13:01:15.906426+00:00,1779886875.906426,1,1,0,0,1.0,0.0,0.0
2026-05-27T13:01:16.906426+00:00,1779886876.906426,1,1,0,0,1.0,1.0,1.0
2026-05-27T13:01:17.906426+00:00,1779886877.906426,1,1,0,0,1.0,2.0,1.0
2026-05-27T13:01:18.906426+00:00,1779886878.906426,1,1,0,0,1.0,3.0,1.0
2026-05-27T13:01:19.906426+00:00,1779886879.906426,1,1,0,0,1.0,4.0,1.0
2026-05-27T13:01:20.906426+00:00,1779886880.906426,2,1,1,0,0.5,2.5,0.5
2026-05-27T13:01:21.906426+00:00,1779886881.906426,2,1,1,0,0.5,3.0,30.5
2026-05-27T13:01:22.906426+00:00,1779886882.906426,2,1,1,0,0.5,3.5,30.5
2026-05-27T13:01:23.906426+00:00,1779886883.906426,2,1,1,0,0.5,4.0,30.5
2026-05-27T13:01:24.906426+00:00,1779886884.906426,2,1,1,0,0.5,4.5,30.5
2026-05-27T13:01:25.906426+00:00,1779886885.906426,2,1,1,0,0.5,5.0,30.5
2026-05-27T13:01:26.906426+00:00,1779886886.906426,2,1,1,0,0.5,5.5,30.5
2026-05-27T13:01:27.906426+00:00,1779886887.906426,2,1,1,0,0.5,6.0,30.5
2026-05-27T13:01:28.906426+00:00,1779886888.906426,2,1,1,0,0.5,6.5,30.5
2026-05-27T13:01:29.906426+00:00,1779886889.906426,2,1,1,0,0.5,7.0,30.5
2026-05-27T13:01:30.906426+00:00,1779886890.906426,5,1,1,3,0.2,3.0,12.2
2026-05-27T13:01:31.906426+00:00,1779886891.906426,5,4,1,0,0.8,3.8,12.44
2026-05-27T13:01:32.906426+00:00,1779886892.906426,5,4,1,0,0.8,4.6,12.44
2026-05-27T13:01:33.906426+00:00,1779886893.906426,5,4,1,0,0.8,5.4,12.44
2026-05-27T13:01:34.906426+00:00,1779886894.906426,5,4,1,0,0.8,6.2,12.44
2026-05-27T13:01:35.906426+00:00,1779886895.906426,5,4,1,0,0.8,7.0,12.44
2026-05-27T13:01:36.906426+00:00,1779886896.906426,5,4,1,0,0.8,7.6,12.44
2026-05-27T13:01:37.906426+00:00,1779886897.906426,5,4,1,0,0.8,8.2,12.44
2026-05-27T13:01:38.906426+00:00,1779886898.906426,5,4,1,0,0.8,8.8,12.44
2026-05-27T13:01:39.906426+00:00,1779886899.906426,5,4,1,0,0.8,9.4,12.44
2026-05-27T13:01:40.906426+00:00,1779886900.906426,5,4,1,0,0.8,10.0,12.44
2026-05-27T13:01:41.906426+00:00,1779886901.906426,5,4,1,0,0.8,10.6,12.44
2026-05-27T13:01:42.906426+00:00,1779886902.906426,5,4,1,0,0.8,11.2,12.44
2026-05-27T13:01:43.906426+00:00,1779886903.906426,4,4,0,0,1.0,14.75,0.55
2026-05-27T13:01:44.906426+00:00,1779886904.906426,4,4,0,0,1.0,15.5,0.55
2026-05-27T13:01:45.906426+00:00,1779886905.906426,4,4,0,0,1.0,16.25,0.55
2026-05-27T13:01:46.906426+00:00,1779886906.906426,4,4,0,0,1.0,17.0,0.55
2026-05-27T13:01:47.906426+00:00,1779886907.906426,4,4,0,0,1.0,17.75,0.55
2026-05-27T13:01:48.906426+00:00,1779886908.906426,4,4,0,0,1.0,18.5,0.55
2026-05-27T13:01:49.906426+00:00,1779886909.906426,4,4,0,0,1.0,19.25,0.55
2026-05-27T13:01:50.906426+00:00,1779886910.906426,4,4,0,0,1.0,20.0,0.55
2026-05-27T13:01:51.906426+00:00,1779886911.906426,3,3,0,0,1.0,20.0,0.4
2026-05-27T13:01:52.906426+00:00,1779886912.906426,3,3,0,0,1.0,20.0,0.4
2026-05-27T13:01:53.906426+00:00,1779886913.906426,3,3,0,0,1.0,20.0,0.4
2026-05-27T13:01:54.906426+00:00,1779886914.906426,3,3,0,0,1.0,20.0,0.4
