ts_iso,ts,n_people,n_tourists,n_locals,n_uncertain,tourist_ratio,avg_dwell_s,avg_speed_px
2026-05-27T13:32:52.153738+00:00,1779888772.1537383,13,0,13,0,0.0,0.0,0.0
2026-05-27T13:32:53.847906+00:00,1779888773.847906,13,0,3,10,0.0,1.43,5.69
2026-05-27T13:32:54.848006+00:00,1779888774.8480062,16,0,11,5,0.0,0.93,13.25
2026-05-27T13:32:55.850230+00:00,1779888775.8502297,17,0,12,5,0.0,1.05,20.21
2026-05-27T13:32:56.853099+00:00,1779888776.853099,21,0,18,3,0.0,0.61,17.69
2026-05-27T13:32:57.853544+00:00,1779888777.8535435,22,0,19,3,0.0,0.44,17.35
2026-05-27T13:33:11.106631+00:00,1779888791.1066313,26,0,21,5,0.0,2.02,16.74
2026-05-27T13:33:12.106720+00:00,1779888792.1067202,26,2,15,9,0.077,6.24,21.95
2026-05-27T13:33:13.106786+00:00,1779888793.1067858,26,1,17,8,0.038,5.3,24.03
2026-05-27T13:33:14.106814+00:00,1779888794.1068137,26,1,16,9,0.038,5.61,24.59
2026-05-27T13:33:15.106886+00:00,1779888795.1068864,27,2,12,13,0.074,7.45,22.25
2026-05-27T13:33:16.114784+00:00,1779888796.1147845,27,2,12,13,0.074,7.57,22.05
